0,h8 h9 i6 i8 g10 g9 i9 f7 e6 g6 g7 f6 f5 f8 e8 e7 h10 f9 f10 e10 d8 d11 g8 g11 e9 c7 d7 g4 f11 d6 c5 k7 c8 b9 b8 a8 k6 i4 h4 c12 b13 e12 c10 e14 d12 l8 l7 k9 j6 l6 m7 k10 k8 j9 l11 h7
1,h8 i9 h6 h9 i7 j8 k7 j7 j9 j6 j5 h5 i6 g8 k4 l3 f7 k6 i8 g6 g7 f8 e7 h7 f6 g5 e5 d4 e6 e8 f4 c8 d8 d6 e4 e3 f5 f3 i4 i5 g4 h4 h3 i2 d7
1,h8 i9 g6 h9 j9 j7 i8 h7 k8 j8 k7 k9 l10 l8 i11 h11 l11 l12 k10 m12 j12 j10 k11 i13 m8 j11 m6 m7 n6 l7 n9 n8 k13 h10 k12 k14 m10 j13 o8
1,h8 h9 f10 g9 i9 g7 g10 i10 g8 f9 e9 f8 e10 d10 e11 e12 e7 e8 d8 c7 j8 g11 k7 l6 k8 i8 k9 k6 j7 j9 g5 i7 f6 h4 c9
1,h8 h9 i7 g9 g8 h7 j9 j8 k8 k7 l7 m6 l6 l8 i5 i6 k5 j5 f8 k4 l3 e8 j4 i3 k10 j10 k11 k9 i11 h11 f9 f7 m7 n8 l11 m12 m11 j11 n11 o11 m10 m9 n10 l9 k13 o9 n9 l12 j12 h10 i13 h14 j13 k12 l13 m13 h13
1,h8 h9 j10 i9 i8 g9 j9 j8 h10 k10 f9 e8 f7 f6 g12 i10 f11 j11 k12 e10 h12 i12 h13 i13 i11 g13 e9 f10 d10 c11 h6 g7 k7 l8 k6 k5 m8 l7 l5 h5 g5 f4 k4 j3 m4 j7 l4 n4 i6 j6 j5 l3 i4 j4 i5 i7 i3 i2 e5 d6 e6 d5 d7 c8 c9 e11 d12 e12 c5 f3 e4 f2 f5 e3 d3 c2 l10 d8 f8 b11 d11 d14 e13 e14 d13 d9 g14 f14 c10 b10 b8 j13 k14 k13 l13 b13 b12 m12 m11 g10 g8 n8 m7 n6 n7 n3 o8 m6 m10 m9 l11 n9 l12 l14 l9
0,h8 h9 j10 i9 i8 g9 j9 h7 f9 g7 f7 f8 h10 g10 g8 j8 h6 k7 l6 k10 k8 l7 j7 i6 i4 h4 j5 h5 g3 h3 f5 e6 d6 e5 d4 d5 e4 c4 d10 d9 g12 h12 m7 k5 e11 f12 c5 d3 f3 e3 e14 f13 f11 d11 j12 i13 h13 i14 e12 e13 h11 i10 g11 i11 i12 m10 m11 k3 k6 m4 l4 c9 c10 b10 d12 b9 e9 d8 e8 e10 e7 i3 h2 a6 c8 n10 l8 n6 k12 n7 n8 k1 l3 m1 l2 l5 k4 k14 j13 j11 j14 m12 m8 o8 o10 n3 n4 m5 m3 d2 n1 m2 f4 f6 e2 g5 j2 c12 i2 k2 b13 e15 a3 b4 b8 c13 g13 n13 l11 a5 c3 b6 a7 b3 a2 b5 b2 b7
1,h8 i9 g7 h9 g9 i7 i10 g10 f8 i8 j7 h10 j8 e10 f11 h11 f9 f10 d10 e9 d8 e8 e11 f6 e7 d9 i5 h5 h12 j6 f7 d7 f12 g13 c11 b11 l9 k10 k11 c9 e6 c5 c6 h6 g6 g5 f4 j4 d5 c4 h3 i3 k5 j2 h4 l4 i4 j5 j3 e4 l11 l6 m11 n11 l10 l8 k9 n12 j11 i11 j9 k6 j10
1,h8 h9 h6 i8 i7 j7 k6 j8 j9 k7 l6 j6 j4 g7 k5 i3 i5 g10 f11 g9 g8 f9 e9 i12 h11 h10 i9 i10 f10 j11 j10 k10 l9 j12 m7 n8 k9 l8 m9
0,h8 i9 i6 i10 g9 h10 f10 i7 g11 h11 g12 g10 h12 e9 i12 f12 j11 k10 j10 j9 k9 l8 i8 g13 e11 d12 j7 k8 l7 m8 j8 h6 j5 k4 n8 i5 f8 g8 j4 j6 k7 n7 m11 j12 m12 l12 d7 e7 e6 g5 f6 g4 f7 f9 f4 f5 e5 d6 m13 m10 g7 d4 l10 n12 g3 l5 m6 h3 h2 i1 i2 k5 m3 d3 d5 e4 c4 b3 m14 m15 i13 j14 g6 d11 e10 d10 d13 d8 c9 d9
1,h8 h9 i7 g9 i9 g7 g8 i8 h6 j8 k6 j6 j5 i4 l7 k7 l8 j10 l9 l6 k8 m10 j9 i10 k4 m6 m8 n9 k10 j11 l11 l10 k5 k12 l13 i5 n6 o7 n4 n5 m4 l4 i6 h7 j7 h5 l3 m2 k3 k2 n3 l5 m3 j3 o3
1,h8 i9 i6 h9 j9 i10 i8 g8 j11 k10 g9 i7 h10 j10 i11 f8 k11 l10 m10 l11 f7 g6 h6 g4 f5 g5 g7 h4 g3 i3 f6 f4 i4 l6 j4 k7 k3 i5 l8 m5 j8 k8 k6 l7 m7 k5 l5 m3 m4 j7 h7 l4 j6 d7 d8 c6 d4 e5 e8 e9 d10 e11 e10 c10 h13 h11 i13 j13 d11 d9 g12 n2 o1 i14 h15 h14 g10 f10 g13 g11 f13 e13 g14 e12 i12 f15 j12 k13 h12 k12 f12
0,h8 h9 h6 i10 i6 i9 g9 g8 j11 i7 i11 h10 j8 j9 h11 g11 g10 k8 l9 k10 l11 k11 k9 l8 l10 l12 f7 g6 e5 h7 i8 k13 j13 k12 k14 i12 j12 j14 m11 n12 l7 n10 m12 m13 j10 n14 o15 n11 n13 h12 i13 e7 f4 g5 g4 g7 j7 h4 f6 f5 d4 e4 d3 f3 f12 i3 g3 d6 j5 j6 k7 n8 n9 m8 o8 m7 m6 k5 l6 l4 m3 m5 k3 j2 k1 h2 g1 g2 i2 d5 c6 h1
1,h8 h9 h6 i8 g10 g9 i9 j10 f6 g7 g5 h7 i7 f4 g6 i6 e7 d8 e8 e9 f9 d7 h5 f7 e6 d6 e5 e4 f5 i5 d5
1,h8 i9 i8 j8 k7 j7 j6 i7 h6 i6 h5 h7 i5 g7 f7 h4 j5 k5 g6 e8 h3 i4 f5 g5 e6 g4 f6 d6 f4 f8 f3
1,h8 h9 j10 i9 j9 i8 i10 h10 g10 h11 g11 g9 f8 j11 h12 f10 i12 g13 j12 k12 i13 h14 l10 k10 i11 i14 l9 k9 k8 l11 m10 k11 k13 n11 m11 j14 g14 l7 m9 m12 l14 m15 l8 m8 j7 i6 j6 j8 k7 i5 n10
0,h8 h9 f10 g9 g8 i9 f9 f8 h10 e10 e9 i8 j9 g10 f11 i10 i7 i12 i11 g12 h12 g11 g13 f14 j10 k9 j12 k6 j7 j13 f12 f13 h11 h14 g14 i6 k7 l7 m8 j6 l6 i4 h6 g5 j5 g4 h7 g7 g6 h4 f4 i3 j2 f5 e6 i5 i2 h5 e5 f3 e2 g3 e3 f2
0,h8 h9 h6 i10 i6 i9 g9 g8 j11 i7 i8 k8 j9 g6 k10 l11 i12 h13 f7 j13 k12 h10 h12 j12 i13 g11 f12 h4 g4 f5 g7 i5 j7 j8 k7 f3 f2 e4 d3 d5 c6 e5 g5 d6 c5 f10 g10 c7 m8 l9 f4 d8 e9 d7 d9 d4
1,h8 i9 g6 h9 j9 i8 i7 j7 g10 k6 l5 j6 l6 k8 j5 k7 k5 i5 l8 l7 m7 n8 k9 n6 g9 f10 i11 j10 f8 e7 g8 g7 h11 g11 e8 d8 f9 i12 d7
1,h8 h9 j7 g9 j9 g10 g8 f9 e9 i8 f8 e8 h11 i10 j10 j8 i9 g7 i11 k11 f11 d7 c6 g11 g12 h12 l10 l9 f13 i13 j14 e10 d10 c11 e14 d15 c12 d12 d13 b11 e13 g13 e6 d6 d5 f7 e7 g5 h5 f4 g3 e4 h4 h6 i7 f5 f3 d4 c4 e5 c3 e3 d2 c5 g4 h7 i6
0,h8 h9 j10 i9 i11 k9 j9 j8 h10 g9 g10 i10 f9 j11 k12 i7 h6 j7 k8 l7 k7 m8 k6 l9 i12 l10 m11 l8 h11 l6
1,h8 i9 h7 h9 i7 g9 j9 g7 g8 f9 e9 j7 g10 k6 g6 i8 l5 j5 j6 h5 l7 k8 l4 k5 l6 l3 l8
1,h8 i9 g6 j8 k7 j9 j7 i10 h9 h7 i11 g10 h10 h11 g12 i12 f9 j12 k12 l9 j11 l10 k9 m9 n8 i13 k11 l11 l12 j13 k14 i8 k10 l7 k8
1,h8 i9 g6 i10 i8 h9 g8 f8 j9 k10 g7 g9 j8 k8 h7 f5 i7 f9 e9 f7 f6 k9 g5 f13 g4
0,h8 h9 j10 i9 h10 g9 f9 i10 j9 i8 i11 j7 g10 i6 i7 k6 l5 j6 l6 h5 k8 f7 j11 g6 j12 h6
1,h8 i9 j6 g9 j8 j9 h9 g8 i8 h7 i5 k8 j7 k6 j5 j4 k5 h5 k7 l8 l4 i7 l3 l5 m3 n2 k3 j3 m5 n6 k4 m2 k2 k1 n4 l6 m4 o4 n5 o6 j1
1,h8 h9 h6 i8 i7 j7 k6 j8 j9 j6 j5 i4 g7 f6 i5 j4 h5 k5 g8 g4 g5 f5 f4 e3 h7 h4 k4 i6 f8 f11 e9
1,h8 i9 g6 h9 j9 i7 i6 h6 j7 j8 k9 k8 h5 g4 g5 f5 g8 f7 e7 e8 j5 k4 j3 h3 i2 j4 i4 k2 k5 i5 g7 g9 f9 h7 h10 d8 d7 m4 l2 m5 l6 l5 m6 l8 k6 j6 m8 l7 k7 n5 l3 c7 c8 d11 e11 c5 f4 e3 d4 e4 e5 g3 f6
0,h8 h9 j10 i9 j9 j8 h10 g10 i8 k10 g9 f8 i11 j12 f11 h11 f10 e11 f9 k9 i7 j6 k8 k12 l7 i10 j7 j11 g8 l13
1,h8 h9 j10 i9 i8 j8 g9 h10 g11 f10 e10 g8 g12 f11 g13 g10 h12 f14 e12 f12 f13 f9 f8 h11 g14 g15 d11 c10 h15
0,h8 h9 j10 i9 g9 i7 j8 i8 i6 j7 g10 k7 h7 i10 i11 f7 j11 e6 d5 g8
1,h8 i9 j8 i7 i10 h9 g9 g10 j7 j9 k10 k8 f11 f10 e10 g12 f8 e9 e7 h10 g8 i8 d8 e8 d7 d6 g5 f6 g7 g6 f7 c7 h7
0,h8 h9 j10 i9 j9 j8 h10 g10 i8 k10 f8 g9 g8 e8 f9 e10 e9 f10 d10 c11 f5 g6 d9 d8 h5 h6 f6 f7 g5 i5 e6 d7 c9 b9 b8 e11 e5 d5 d6 c7 d4 g7 e7 e3 g4 f4 j5 i6 h3 i2 i4 k6 j6 j3 h4 i3 j4 k4 h1 h2 g2 f1 d12 k7 k5 k9 k8 i7 l10 j7 h7 l7 m7 l6 l5 m5
0,h8 h9 i8 i7 g7 g8 f7 f6 h6 i5 d7 e7 d8 d9 e8 f9 h7 h5 f5 g6 g4 e6 g9 k5 j5 i3 i4 h4 g5 j6 g3 k6 k7 l6 j4 m6 i6 n6
1,h8 h9 h6 i10 i6 i9 g9 g8 j11 i7 i8 k7 j9 k10 j10 j12 h7 g6 h5 h4 j7 f7 j8
0,h8 h9 h6 i10 i6 i9 g9 g8 j11 i7 i8 k7 g6 f6 j8 k8 h11 l7 k6 j6 j7 j9 m6 l8 m9 l9 k9 l10 l11 l6
0,h8 i9 i6 i10 g9 h10 f10 i7 g11 h11 g12 g10 h12 e9 i12 f12 j11 k10 j10 j9 k9 l8 i8 g13 j7 j8 k8 k7 l6 h5 j6 k6 e11 d12 m11 j12 l12 n10 m10 l9 m9 m12 l11 k11 i13 j14 k12 j13 g8 h7 f7 f8 h6 f6 g5 j4 k4 d13 d10 e13 f13 e12 f11 c11 b10 c12 b12 c10 c9 d7 e8 b11 e14 c13 c14 l5 d6 f4 e4 d4 e6 d5 e5 e7 d3 e3 f2 c2 b8 a7 b6 c7 b7 b9 e10 d9 l3 j5 h3 g4 h4 k3 i5 g3 n5 m4 n8 m7 d14 f14 g15 i14 l14 l13 m6 n7 o7 m8 o6 l7 n9 i4
1,h8 h9 h7 h6 j7 g7 g9 g8 i7 j6 i5 i6 g6 i8 i10 f10 d10 k7 k6 f11 f12 g11 h12 g12 g10 e11 d11 d8 e10 f8 c7 e6 d5 f5 e8 d7 g4 f7 f9 c9 f6 i12 j5 i4 k10 j10 m8 l8 m9 m7 k9 l7 k11 k12 l10 n8 d12 d13 c12 b13 l6 j12 m11 j8 j11 h10 i9 i11 h11 m12 l12 k13 l14 j13 n7 l9 l13 l11 i14 b12 b11 a11 b10 e13 c13 c14 f3 e3 k5 e12 b15 h5 l5 m5 k4 e14 e15 j3 k2 k3 m6 o8 o6 n6 m4 n3 l3 n5 l4 l2 n4 j4 o4
0,h8 h9 j10 i9 i8 j8 g9 i7 k9 k7 l6 l8 j6 g8 h7 h6 h10 i10 j11 j12 m8 l7 m7 m6 j9 k10 e6 f5 f4 e7 g4 h4 d8 f10 f12 j4 k3 g13 h13 f8 g7 g5 f6 e5 d5 c4 d9 d6 d12 e12 c11 c7 c5 b7 d7 b10 b9 f11 c8 a10 f7 d13 e13 g10
1,h8 h9 h6 i10 i6 i9 g9 g8 j11 i7 i8 h10 j8 k8 j9 j10 k10 h7 j7 j6 i12 h13 f10 e11 l11 m12 k11 i11 h11 k12 f9 g10 k9 l10 e6 f7 e9 e7 g7 f8 g4 f5 f4 e4 d3 f6 g3 f3 h4 g5 e5 d6 k6 j5 j4 i4 h2 i1 k5 h5 i5 g6 k3
